title,heading,content,ref
Our Vision and Values,Our Vision,"Our Vision and Values|Our Vision|Creative Transformation defines what we stand for. It is what we deliver. It highlights a creative mindset and long-term approach to business that enables us to seek out new perspectives and unlock potential others do not see. It demands of us original thinking to find innovative solutions to today’s challenges so we can create extraordinary places, dynamic communities and a sustainable future for us all.|Ref:https://www.swireproperties.com/en/about-us/our-vision-and-values/",https://www.swireproperties.com/en/about-us/our-vision-and-values/
Our Vision and Values,Our Values,"Our Vision and Values|Our Values|Our values define us as a company. They form a coherent set of principles that are relevant across our business and underpin everything we do. They are Integrity, Originality, Long-term focus, and Quality.|Ref:https://www.swireproperties.com/en/about-us/our-vision-and-values/",https://www.swireproperties.com/en/about-us/our-vision-and-values/
Our Vision and Values,INTEGRITY,"Our Vision and Values|INTEGRITY|Backed by a reputation for ethical behaviour built up over 50 years, our corporate culture demands uncompromising and consistent adherence to a well understood set of principles and standards that govern how we behave internally and when dealing with external partners. We treat everyone equally and with respect and we are trusted to honour our commitments and deliver on our promises.|Ref:https://www.swireproperties.com/en/about-us/our-vision-and-values/",https://www.swireproperties.com/en/about-us/our-vision-and-values/
Our Vision and Values,ORIGINALITY,"Our Vision and Values|ORIGINALITY|Our way of working is built on a tradition of doing things differently. Open to new ideas, curious to find unique perspectives resulting in innovative, inspiring solutions, our approach is to be persistent, have uncompromising attention to detail, yet maintain flexibility. We reward creativity, we have the courage to challenge convention and we always respect differences of opinion.|Ref:https://www.swireproperties.com/en/about-us/our-vision-and-values/",https://www.swireproperties.com/en/about-us/our-vision-and-values/
Our Vision and Values,LONG-TERM FOCUS,"Our Vision and Values|LONG-TERM FOCUS|Our long-term investment horizon comes from a combination of patient shareholders, a mindset borne out of the Swire group heritage and a culture found in the commitment of our people. We recognise that successful projects benefit from meticulous planning, continual enhancement and an enlightened view of the social and environmental impact of our developments over time.|Ref:https://www.swireproperties.com/en/about-us/our-vision-and-values/",https://www.swireproperties.com/en/about-us/our-vision-and-values/
Our Vision and Values,QUALITY,"Our Vision and Values|QUALITY|Quality is caring about details, recognising the importance of design and superior professionalism in management. We set the highest targets and always aim to exceed expectations. We customise each product to the unique characteristics of its location and aim to create an inspiring, uplifting experience for each and every tenant, visitor, resident and guest. Best-in-class serves only as the baseline from which to improve.|Ref:https://www.swireproperties.com/en/about-us/our-vision-and-values/",https://www.swireproperties.com/en/about-us/our-vision-and-values/
Creative Transformation,Creative Transformation,"Creative Transformation|Creative Transformation|Creative Transformation captures what we do and how we do it. It underlines the creative mindset and long-term approach that enables us to seek out new perspectives, and original thinking that goes beyond the conventional. It also encapsulates our ability to unlock the potential of places and create vibrant destinations that can engender further growth and create sustainable value for our stakeholders.|Ref:https://www.swireproperties.com/en/about-us/creative-transformation/",https://www.swireproperties.com/en/about-us/creative-transformation/
Our Management,Our Management,"Our Management|Our Management|Our management team combines strong leadership, in-depth industry knowledge and vast professional experience. With their diverse expertise and multicultural backgrounds, our senior executives bring considerable insights and experience gained in other businesses of the Swire group. Each member of our high-calibre management team possesses values, ideas and leadership capabilities that inform our organisational decisions and drive our business success.|Ref:https://www.swireproperties.com/en/about-us/management-team/",https://www.swireproperties.com/en/about-us/management-team/
Our Management,Our Management,"Our Management|Our Management|
Guy Bradley
Chairman

Guy Bradley is Chairman of John Swire & Sons (H.K.) Limited, Swire Pacific Limited, and Swire Properties Limited. He is also a Non-Executive Director of Cathay Pacific Airways Limited.

Before taking up his current role as Chairman, Guy was the Chief Executive of Swire Properties, responsible for the Company�s overall management and strategic direction. He joined the Swire group in 1987 and has worked with the group in the Hong Kong SAR, Papua New Guinea, Japan, the United States, Vietnam, the Chinese Mainland, Taiwan region and the Middle East.

Guy is a General Committee member of the Hong Kong General Chamber of Commerce, and a member of the Council of The Hong Kong Management Association.

Guy holds a Masters degree in Politics, Philosophy & Economics from the University of Oxford.  A Chartered Surveyor, he is a Fellow of the Royal Institution of Chartered Surveyors and a member of The Hong Kong Institute of Surveyors.


Tim Blackburn
Chief Executive

Tim oversees the Company�s strategic direction and provides leadership to all levels of the organisation. He is also a Director of John Swire & Sons (H.K.) Limited and Chairman of Swire Hotels.

Before his current role, Tim was Chief Executive Officer, Chinese Mainland � managing and realising the Company�s portfolios and overall investment strategy, fostering key partnerships and advancing major projects in the Chinese Mainland.

Prior to this, he was General Manager, Development & Valuations, responsible for business development in Hong Kong, covering the areas of investment and trading properties.

A Swire group veteran who joined in 1994, Tim has held senior positions at various subsidiary companies in Australia, Papua New Guinea, Singapore, the United Kingdom, Hong Kong and the Chinese Mainland.

Tim holds an MA (Hons) in Modern Languages from Cambridge University.  He is a member of the Royal Institution of Chartered Surveyors and is an independent member of The English Schools Foundation Board of Governors. He is also a Global Governing Trustee of the Urban Land Institute. 

 Han Zhi
Han Zhi
Director, Retail

Han Zhi is responsible for the leasing and management of the Company�s retail portfolio in Asia.

He has been with Swire Properties Limited for more than 17 years and has served various roles in different portfolios in Hong Kong and the Chinese Mainland, including Pacific Place in Hong Kong, and Taikoo Hui in Guangzhou and Sino-Ocean Taikoo Li Chengdu.

Prior to taking up his current role in November 2017, he was Director, Business Development (Mainland China) after working as General Manager, Sino-Ocean Taikoo Li Chengdu. He is a member of the Surveyors Registration Board, the Hong Kong Institute of Surveyors and the Royal Institution of Chartered Surveyors.

Christine Ling
Christine Ling
Director, Human Resources

Christine Ling is responsible for the people strategy and management of human resources at Swire Properties Limited.

She joined the Swire group in 2005 and has held a number of management positions in HR at Cathay Pacific Airways Limited and John Swire & Sons (HK) Limited.

Prior to her current role, Christine was General Manager Leadership Development at John Swire & Sons (HK) Limited.


Fanny Lung
Finance Director

Fanny Lung is responsible for managing the financial interests of Swire Properties Limited.

Prior to joining Swire Properties Limited, Fanny was Group Director Finance at Hong Kong Aircraft Engineering Company Limited. She joined Swire group in 1992 and was previously Finance Director of Swire Pacific Offshore Holdings Limited, a wholly owned subsidiary of Swire Pacific.


Mabelle Ma
Director, Development and Valuations

Mabelle Ma oversees new development opportunities in Hong Kong as well as valuation, planning and development issues.

Mabelle joined Swire Properties Limited in 1996 and took up her current role in 2013. She was previously General Manager, Development & Valuations.

A Chartered Surveyor, Mabelle is a member of the Royal Institution of Chartered Surveyors and the Hong Kong Institute of Surveyors.

Jon Tzen Ng, Director, Digital & IT, Swire Properties
Jon Tzen Ng
Director, Digital & IT

Jon Tzen Ng manages Swire Properties� Digital and Information Technology (IT) departments.

Having joined the Company in 2022, Jon is responsible for leading Swire Properties� overall digital transformation and digital strategies, for the entire value chain.

With over 20 years of technology management experience in both Hong Kong and the Chinese Mainland, Jon has held a variety of leadership roles at a leading note-issuing bank, financial services and technology-focused conglomerate, and property developer, before joining the Company.

Fiona Shiu
Fiona Shiu
Director, TSSD & Facilities Management

Fiona Shiu oversees the Company�s Technical Services, Sustainable Development and Facilities Management in Hong Kong and the Chinese Mainland.

She joined Swire Properties Limited in 1991 and has served in a number of roles across the Company over the years. Fiona was previously Deputy Director, Retail in Hong Kong and General Manager of Pacific Place and Cityplaza.

A Chartered Surveyor, she is a member of the Royal Institution of Chartered Surveyors and the Hong Kong Institute of Surveyors.


Toby Smith
Deputy Chairman, Swire Hotels

Toby Smith leads the hospitality arm�s growth strategy. 

He joined as Managing Director in 2017, overseeing Swire Hotels and its two brands, EAST and The House Collective.

Prior to joining Swire Hotels, Toby was General Manager, Sales and Distribution at Cathay Pacific.  

Toby joined the Swire group in 1991 and possesses extensive experience in the shipping and aviation sectors.  


Don Taylor
Director, Office

Don Taylor is responsible for the leasing and management of the Company�s office portfolio in Asia.

He joined Swire Properties Limited in 1991 and has served in a number of roles in development and valuations, retail, residential (including serviced apartments) and offices.

He was previously General Manager, Office. A Chartered Surveyor, Don is a member of the Royal Institution of Chartered Surveyors and the Hong Kong Institute of Surveyors.


Adrian To
Director, Residential

Adrian To is responsible for the sales and marketing, leasing and property management of our residential portfolio in Asia.

Adrian joined Swire Properties Limited in 1988 and has since served in a number of roles in Hong Kong and London. He was previously General Manager, Residential.

A Chartered Surveyor, Adrian is a member of the Royal Institution of Chartered Surveyors and the Hong Kong Institute of Surveyors, and a registered professional surveyor of the Surveyors Registration Board.


Dean Winter
Managing Director, Swire Hotels

Dean Winter is responsible for the day-to-day leadership of the Swire Hotels portfolio under the two brands, EAST and The House Collective. 

He was previously Group Director of Operations at Swire Hotels. Dean joined Swire Hotels in 2006.

He has over 30 years of experience as a hotelier and restaurateur in London, Hong Kong and Singapore. |Ref:https://www.swireproperties.com/en/about-us/management-team/",https://www.swireproperties.com/en/about-us/management-team/
Developments and Investments,Overview,"Developments and Investments|Overview|Swire Properties� portfolio comprises office and retail properties, serviced apartments, hotels and luxury residential projects. We are committed to offering visionary design, superior facilities, outstanding management services, convenient infrastructure and high space efficiency at prime locations while also prioritising the interests of the people who live and work in our communities.

While we primarily focus on key markets in Hong Kong, the Chinese Mainland and the US, we also assess other markets with investment potential. The Company has an office in Singapore to explore opportunities in the Southeast Asia region.|Ref:https://www.swireproperties.com/en/about-us/development-and-investments/",https://www.swireproperties.com/en/about-us/development-and-investments/
Developments and Investments,Figures,"Developments and Investments|Figures|26.7 million sq ft
Total investment properties attributable to Swire Properties

14.5 million sq ft
Attributable investment portfolio in Hong Kong

9.4 million sq ft
Attributable investment portfolio in the Chinese Mainland

2.8 million sq ft
Attributable investment portfolio in the US and other places|Ref:https://www.swireproperties.com/en/about-us/development-and-investments/",https://www.swireproperties.com/en/about-us/development-and-investments/
Developments and Investments,Our Properties,"Developments and Investments|Our Properties|Pacific Place
HONG KONG  
Mixed-use

Taikoo Place & Cityplaza
HONG KONG  
Mixed-use

Taikoo Place
HONG KONG  
Mixed-use

Cityplaza
HONG KONG  
Mixed-use

Taikoo Li Sanlitun, Beijing
CHINESE MAINLAND  Beijing
Mixed-use

Citygate
HONG KONG  
Mixed-use

Taikoo Hui, Guangzhou
CHINESE MAINLAND  Guangzhou
Mixed-use|Ref:https://www.swireproperties.com/en/about-us/development-and-investments/",https://www.swireproperties.com/en/about-us/development-and-investments/
